Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"Kadastrozona
","
MB Kadastrozona
","Juozapavičiaus pr. 84, LT-45212 Kaunas.","
Veiklos sritys: geodezija, kartografija; architektai; kita veikla.
","
Gyvenamųjų ir negyvenamųjų (namų ūkio, sandėliavimo, administracinės, rekreacinės ir tt) paskirties pastatų projektavimas, derinimas, statybos leidimo išėmimas.
",https://rekvizitai.vz.lt/imone/kadastrozona/
"Kristinos Rašimienės individuali veikla
","
Subtili Architektūra
","Šilutės pl. 56-306, LT-94181 Klaipėda.","
Veiklos sritys: architektai; projektavimas.
","
Individualių vienbučių, dvibučių ir daugiabučių gyvenamųjų namų projektavimas. Visuomeninių pastatų projektavimas. Gamybinių ir sandėliavimo pastatų projektavimas. Visų tipų statinių projektavimas. Interjerų projektavimas.
",https://rekvizitai.vz.lt/imone/kristinos_rasimienes_individuali_veikla/
"Manto Vintarto Mickevičiaus architektūra
","
mvm architektūra
","I. Kanto g. 18-4E, LT-44296 Kaunas.","
Veiklos sritys: architektai; konsultacijų paslaugos; projektavimas.
","
Projektavimo darbai.
",https://rekvizitai.vz.lt/imone/manto_vintarto_mickeviciaus_architektura/
"Patvanka
","
","Jazminų g. 15-1, LT-52245 Kaunas.","
Veiklos sritys: architektai; projektavimas.
","
RenoArchUS - jauna, ambicinga projektavimo įmonė siekianti tik aukščiausių, kokybiškiausių projektavimo Lietuvoje ir užsienyje standartų. Mūsų kompetetingi, atestuoti specialistai siūlo kokybiškas projektavimo paslaugas. UAB ""RenoArchUs"" tikslas yra išspręsti visas įmanomas problemas projektavimo stadijoje, tai...
",https://rekvizitai.vz.lt/imone/patvanka/
"RenoArchUs
","
","Bajorų kel. 29A-4, LT-08426 Vilnius.","
Veiklos sritys: architektai; konsultacijų paslaugos; projektavimas; sertifikavimo paslaugos.
","
„Siguldos baldai“ – virtuvės baldų gamintojai. Baldai visam Jūsų būstui - nuo klasikinių baldų iki modernių - tai siūlo UAB „Siguldos baldai“ baldų salone Vilniuje. Įmonės dizaineriai ir architektai padės parinkti projektuojamų baldų medžiagas, spalvas, furnitūrą, projektuojant virtuvės baldus, įmonės darbuotojai...
",https://rekvizitai.vz.lt/imone/renoarchus/
"Siguldos baldai
","
","Kiemelių g. 16B, Maišiagala, LT-14240 Vilniaus r.","
Veiklos sritys: baldai (prekyba); architektai; gamyba.
","
Gyvenamųjų namų, visuomeninių pastatų projektavimas. InterjeraiProfesonalų komanda ""Studija F5"" visada pasirengusi savo šviesias mintis pasiūlyti jūsų tobulam komfortui.Mes Jums siūlome projektą sukurtą specialiai jums, atitinkantį Jūsų poreikius ir galimybes. Kartotiniai projektai nėra kurti jums, ir nevisada...
",https://rekvizitai.vz.lt/imone/uab_siguldos_baldai/
"Studija 501
","
","Pamėnkalnio g. 28-2, LT-01114 Vilnius.","
Veiklos sritys: architektai.
","
StudiMO yra interjero dizaino studija, projektuojanti autorinius dizainus privatiems bei visuomeniniems objektams.
",https://rekvizitai.vz.lt/imone/vsi_studija_501/
"Studija F5
","
","Krivių g. 25-2, LT-01209 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Kraštovaizdžio objektų: parkų, skverų, aikščių, gatvių ir kitų viešų bei privačių atvirų erdvių projektavimas. Rekreacinės infrastruktūros objektų projektavimas. Įvairios paskrities pastatų sklypo plano dalies projektavimas, PP, TP, DP projektavimo stadijos ir autorinė įgyvendinimo priežiūra. Poveikio aplinkai...
",https://rekvizitai.vz.lt/imone/studija_f5/
"StudiMO interjero dizainas Vilniuje
","
","Kreivasis skg. 18, LT-01205 Vilnius.","
Veiklos sritys: interjero apdailos medžiagos; architektai; grafika, dizainas.
","
Architektūrinis projektavimas (gyvenamieji ir negyvenamieji pastatai), kompleksinis projektavimas, detalieji žemės sklypų planai, projektų valdymas.
",https://rekvizitai.vz.lt/imone/studimo_interjero_dizainas/
"Terra firma LT
","
","A. Smetonos g. 2, IIIa, LT-01115 Vilnius.","
Veiklos sritys: projektavimas; apželdinimas ir aplinkos tvarkymas; architektai; konsultacijų paslaugos.
","
Projektavimo darbai, architekto paslaugos. Statinių projektų ir statinių dalies ekspertizė (konstrukcijų). Statybos užbaigimo deklaracijų tvirtinimas.
",https://rekvizitai.vz.lt/imone/terra_firma_lt/
"Tiksli forma
","
","Vokiečių g. 24, LT-01130 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Mūsų įmonė jauna, tačiau ambicinga – siekianti į projektavimo veiklą įnešti daugiau kokybės, atsakingumo, ir žengianti koja kojon su naujausiomis technologijomis. Mums svarbu ne tik pasiekti užsibrėžtus tikslus, tačiau ir išgauti maksimalų rezultatą, kuris pranoktų mūsų Klientų lūkesčius. Įmonė teikia projektavimo...
",https://rekvizitai.vz.lt/imone/tiksli_forma/
"Upės arklys
","
","Debesų g. 16, Pociūnų k., LT-59327 Prienų r.","
Veiklos sritys: architektai; konsultacijų paslaugos.
","
",https://rekvizitai.vz.lt/imone/upes_arklys/
"Vireksta
","
","J. Basanavičiaus g. 74, LT-28202 Utena.","
Veiklos sritys: projektavimas; architektai.
","
",https://rekvizitai.vz.lt/imone/romas_ir_virgis/
"Žalias katinas
","
","Taikos pr. 24, 237 kab., LT-91222 Klaipėda.","
Veiklos sritys: projektavimas; architektai.
","
",https://rekvizitai.vz.lt/imone/zalias_katinas/
"Ambraso architektų biuras
","
","K. Kalinausko g. 10-3, LT-03107 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Architektūrinis projektavimas ir konsultacijos.
",https://rekvizitai.vz.lt/imone/a_ambraso_projektavimo_firma/
"Archas
","
","Karaliaus Mindaugo pr. 12, LT-44287 Kaunas.","
Veiklos sritys: architektai; projektavimas.
","
Visų tipų pastatų projektavimo paslaugos. Architekto paslaugos.
",https://rekvizitai.vz.lt/imone/archas/
"Architektūros projektai
","
","Polocko g. 4-101, LT-01204 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Architektūra. Statybos leidimai Kultūros paveldo saugomoje teritorijoje, Valstybės saugomų, registrinių objektų tvarkybos bei remonto darbų projektai. Paskirties keitimo, naujos statybos, rekonstravimo projektai. Statinio būklės ekspertizės, statinio konstrukcijų projektai. Turtinių vienetų formavimo projektai.
",https://rekvizitai.vz.lt/imone/saudra/
"ARCHSTUDIJA
","
","Konstitucijos pr. 9-41, LT-09308 Vilnius.","
Veiklos sritys: projektavimas; apskaita; architektai; grafika, dizainas.
","
Specializuota projektavimo veikla; architektūros ir inžinerijos veikla bei su ja susijusios techninės konsultacijos; buhalterinė apskaita ir audito atlikimas; apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais
",https://rekvizitai.vz.lt/imone/archstudija/
"BOLLE Modular
","
","Respublikos g. 20-39, LT-89225 Mažeikiai.","
Veiklos sritys: projektavimas; architektai; statyba.
","
Modulinių namų statymas.
Konteinerių prekyba bei nuoma.
Projektavimo paslaugos.
",https://rekvizitai.vz.lt/imone/bolle_modular/
"Coreco projektai
","
","Jonavos g. 160, LT-44136 Kaunas.","
Veiklos sritys: architektai; projektavimas.
","
Profesonalios interjero dizaino ir projektavimo paslaugos Vilniuje ir Kaune.
",https://rekvizitai.vz.lt/imone/sigreva/
"Dizaino kalvė
","
woodoo sign
","Birutės g. 40-25, LT-87119 Telšiai.","
Veiklos sritys: architektai; baldai (gamyba); grafika, dizainas; projektavimas.
","
Interjerų projektavimas ir įrengimas, baldų projektavimas ir gamyba, mažoji architektūra. Dizaino paslaugos, dekoracijos, nestandartiniai gaminiai.
",https://rekvizitai.vz.lt/imone/dizaino_kalve/
"FlexiForma
","
","Vingio g. 7, Juodšiliai, LT-14103 Vilniaus r.","
Veiklos sritys: projektavimas; architektai.
","
Teikiame šias paslaugas: - statinių projektavimas, - teritorijų planavimas, - projektų vykdymo priežiūra, - konsultavimas projektavimo ir statybos klausimais, - interjero projektavimas, - projektų vadovo paslaugos, - projektavimo valdymo veikla.
",https://rekvizitai.vz.lt/imone/flexiforma/
"Geodezija ir architektūra
","
","Šeimyniškių g. 9-1, LT-09312 Vilnius.","
Veiklos sritys: architektai; geodezija, kartografija; konsultacijų paslaugos; nekilnojamasis turtas.
","
Įmonė projektuoja individualius gyvenamuosius namus, atlieka patalpų paskirties keitimo projektus, gauna statybos leidimus.
Registruoja pastatus, padeda įregistruoti nelegalias statybas.
Atlieka energinio naudingumo sertifikatų skaičiavimus
ir kitus darbus, reikalingus namų registravimui.
",https://rekvizitai.vz.lt/imone/geodezija_ir_architektura/
"Geoskalė
","
","Liepų g. 32, LT-85366 Akmenė.","
Veiklos sritys: geodezija, kartografija; architektai; statyba; žemėtvarka.
","
Kadastriniai matavimai – Žemės sklypų kadastriniai matavimai – Žemės sklypo kadastrinių matavimų bylos atnaujinimas (statinio pridavimui) – Sunaikintų riboženklių atstatymas, esamų riboženklių patikrinimas – Žemės sklypo paskirties keitimas Geodeziniai matavimai – Kontrolinės geodezinės nuotraukos (išpildomosios) –...
",https://rekvizitai.vz.lt/imone/geoskale/
"GONUC INSAAT ANONIM SIRKETI filialas
","
","Perkūnkiemio g. 13-91, LT-12114 Vilnius.","
Veiklos sritys: projektavimas; architektai; inžineriniai tinklai ir sistemos.
","
Įmonė specializuojasi betoninių dangų projektų, oro uosto peronų, kilimo ir tūpimo takų betoninių dangų, infrastruktūros darbų, tokių kaip visų rūšių oro uosto lietaus nuotekų, drenažo, geriamojo vandens linijų, betoninių kanalų tiesimo, paviršinio grūdinto betono dangų, liejinio bordiūrų betonavimo sistemų plėtra...
",https://rekvizitai.vz.lt/imone/gonuc_insaat_anonim_sirketi_filialas/
"UAB J ir A Architektūros Studija
","
","Baltijos pr. 123-24, LT-93224 Klaipėda.","
Veiklos sritys: architektai; konsultacijų paslaugos; projektavimas.
","
Statinių techniniai projektai. Gyvenamųjų namų projektavimas, Kaimo turizmo pastatų ir landšafto projektai. Visuomeninių, administracinių ir pramoninių pastatų techniniai projektai. Daugiabučių ir individualių namų rekonstrukcijos, kapitalinio, paprastojo remonto projektai. Projektavimas, projektų vykdymo...
",https://rekvizitai.vz.lt/imone/uab_j_ir_a_architekturos_studija/
"JURGINIO PROJEKTŲ MENEDŽMENTAS
","
","L. Sapiegos g. 9A, LT-10312 Vilnius.","
Veiklos sritys: architektai; energetika; institutai, moksliniai tyrimai; projektavimas.
","
Visų sričių architektūrinis projektavimas, teritorijų planavimas, kraštovaizdis, urbanistika ir transportas, tūrinė architektūra, interjeras, architektūrinės detalės, baldų ir įrangos dizainas. Nekilnojamo turto projektų valdymas, paprastasis bei specialusis administravimas, investiciniai projektai. Moksliniai...
",https://rekvizitai.vz.lt/imone/jurginio_projektu_menedzmentas/
"Kauno planas, Kauno savivaldybės įmonė
","
","Kęstučio g. 66A, LT-44304 Kaunas.","
Veiklos sritys: architektai; geodezija, kartografija; kompiuterių programinės įrangos kūrimas; projektavimas.
","
Pagrindinė Įmonės veikla: teritorijų planavimo dokumentų (bendrųjų, specialiųjų, detaliųjų, žemės sklypų formavimo ir pertvarkymo, žemės valdos projektų), statybos techninių projektų, geografinių informacinių sistemų, duomenų bazių ir kompiuterinių taikomųjų programų kūrimas, rengimas, priežiūra, pateikimas...
",https://rekvizitai.vz.lt/imone/kauno_planas_kauno_savivaldybes_imone/
"D. Krungolco įmonė
","
""DK projektavimas""
","Minties g. 8A-110, LT-09225 Vilnius.","
Veiklos sritys: projektavimas; architektai.
","
Pastatų projektavimas
",https://rekvizitai.vz.lt/imone/d_krungolco_imone/
"Kūrybinės operacijos
","
","Tarandės g. 4F, LT-14188 Vilnius.","
Veiklos sritys: architektai; grafika, dizainas; interneto paslaugos; projektavimas.
","
Profesionalios konsultacijos ir dokumentų parengimas: - Teritorijų planavimas (detalieji, specialieji ir bendrieji planai), dokumentų koregavimas ir keitimas; - Aplinkosauga (poveikio aplinkai vertinimas, taršos integruotos prevencijos ir kontrolės leidimai, gamybos įmonių plėtra ir modernizavimas) - Nekilnojamojo...
",https://rekvizitai.vz.lt/imone/kurybines_operacijos/
"Mykolo Dumbravos IV
","
MYCO
","Minties g. 50-5, LT-09220 Vilnius.","
Veiklos sritys: architektai; individuali veikla; konsultacijų paslaugos; projektavimas.
","
JURIDINIAMS IR FIZINIAMS ASMENIMS ATLIEKAMOS PASLAUGOS: ŽEMĖS SKLYPŲ KADASTRINIAI MATAVIMAI (GEODEZIJA); STATINIŲ KADASTRINIAI MATAVIMAI (INVENTORIZACIJA); TOPOGRAFINIŲ NUOTRAUKŲ SUDARYMAS (TOPONUOTRAUKOS); SODO SKLYPŲ MATAVIMAI; POŽEMINIŲ TINKLŲ IR KOMUNIKACIJŲ GEODEZINĖS KONTROLINĖS NUOTRAUKOS (Išpildomosios...
",https://rekvizitai.vz.lt/imone/mykolo_dumbravos_iv/
"Nekilnojamojo turto projektai
","
","Žalgirio g. 131, LT-08217 Vilnius.","
Veiklos sritys: architektai; geodezija, kartografija; žemėtvarka.
","
Įmonė importuoja ir tiekia rinkai burnos probiotikus, dantų pastas Plidenta, australų odontologo sukurtas burnos higienos priemones Piksters
",https://rekvizitai.vz.lt/imone/nekilnojamojo_turto_projektai/
"Oralmeda
","
Elektroninė parduotuvė ""Prodentis.lt""
","Šeduvos g. 11, LT-47423 Kaunas.","
Veiklos sritys: architektai.
","
Projektavimo paslaugos.
",https://rekvizitai.vz.lt/imone/oralmeda/
"Paleko archstudija
","
","J.Jasinskio g. 14a-13, LT-01112 Vilnius.","
Veiklos sritys: projektavimas; architektai; nekilnojamasis turtas; statyba.
","
Architektūrinis projektavimas. Interjero kūrimas. Dizaino paslaugos.
",https://rekvizitai.vz.lt/imone/paleko_archstudija/
"Pavlidi ir Ko
","
","Jurgio Matulaičio a. 9-26, LT-05111 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Statinių projektavimas ir priežiūra, Statyba.
",https://rekvizitai.vz.lt/imone/pavlidi_ir_ko/
"Architektūros studija ""Plazma""
","
Plazma
","T. Ševčenkos g. 16A, LT-03111 Vilnius.","
Veiklos sritys: architektai; grafika, dizainas; projektavimas.
","
„SA.lt“ (Statyba ir architektūra) – žurnalas ir naujienų portalas apie statybas, projektavimą, nekilnojamąjį turtą, architektūrą, renovaciją, kultūros paveldą ir kitas statybų pramonei svarbias aktualijas. Žurnalas pirmą kartą pasirodė Kaune 1922 metais, dabartiniu pavadinimu leidžiamas nuo 1957 metų. Žurnale...
",https://rekvizitai.vz.lt/imone/plazma_architekturos_studija_r_mikulionio_ii/
"Plėtros partneriai
","
","Laisvės pr. 77B, LT-06152 Vilnius.","
Veiklos sritys: architektai; projektavimas; sertifikavimo paslaugos; statyba.
","
Architektūrinis ir inžinerinis projektavimas. Techniniai, techniniai- darbo, darbo projektai. Energetiniai pastatų auditai. Investiciniai projektai. Statybos pagrindimai.
",https://rekvizitai.vz.lt/imone/pletros_partneriai/
"Portalas Sa.lt
","
","V. Gerulaičio g. 1, (Technopolis-Alfa), LT-08200 Vilnius.","
Veiklos sritys: reklamos paslaugos; architektai; statyba; žiniasklaida.
","
Pastatų projektavimas.
Pastatų enereginio naudingumo sertifikavimas; Pastatų pridavimas, statybos užbaigimo paslaugos;
",https://rekvizitai.vz.lt/imone/portalas_sa_lt/
"Qubec
","
","Girdavos g. 72-1, LT-92349 Klaipėda.","
Veiklos sritys: projektavimas; architektai; statyba.
","
",https://rekvizitai.vz.lt/imone/qubec/
"Samanose interjero dizainas
","
","Žirmūnų g. 139, LT-09120 Vilnius.","
Veiklos sritys: architektai.
","
",https://rekvizitai.vz.lt/imone/samanose_interjero_dizainas/
"Sava ranga
","
","Savanorių pr. 194-601, LT-44151 Kaunas.","
Veiklos sritys: projektavimas; architektai; konsultacijų paslaugos.
","
",https://rekvizitai.vz.lt/imone/uab_sava_ranga/
"Syrusas
","
IMPLMNT architects
","Pylimo g. 14A-31, LT-01117 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/syrusas/
"Statybos projektų valdymas
","
","Ateities g. 25B, LT-06326 Vilnius.","
Veiklos sritys: projektavimas; architektai.
","
",https://rekvizitai.vz.lt/imone/statybos_projektu_valdymas/
"Statybų idėja
","
","Aušros al. 66a-13, LT-76233 Šiauliai.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/statybu_ideja/
"Studio Manna, MB
","
","Srovės g. 20A, LT-01206 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Gyvenamųjų, visuomeninių, administracinių, pramoninių, pagalbinio ūkio pastatų projektavimo ir rekonstravimo techniniai projektai atliekami visoje Lietuvoje. Detalieji, specialieji planai, techninės priežiūros paslaugos. MB “TRIMATĖS IDĖJOS” įkurta 2013 m., kuri įsikūrusi Šakiuose, taip pat turi atstovą Kaune bei...
",https://rekvizitai.vz.lt/imone/studio_manna_mb/
"Trimatės idėjos
","
","E. Levino g. 19, LT-47222 Kaunas.","
Veiklos sritys: architektai; projektavimas.
","
Mūsų paslaugos:
Įvairių paskirčių pastatų projektų rengimas
Techniniai ir darbo projektai
Projektų vykdymo priežiūra
Detaliųjų planų rengimas
Interjerai
Konsultacijos
",https://rekvizitai.vz.lt/imone/trimates_idejos/
"Unitectus
","
","Lukiškių g. 3, LT-01108 Vilnius.","
Veiklos sritys: architektai; konsultacijų paslaugos; projektavimas.
","
„VIA Engineering“ yra inžinerijos ir konsultacijų įmonė, įsikūrusi Lietuvoje ir vykdanti tarptautinę veiklą bei konsultacijas visame pasaulyje. „VIA Engineering“ siūlo platų paslaugų spektrą kelių, greitkelių ir geležinkelių inžinerijos srityje, pradedant nuo strateginių užduočių ir analizių, baigiant detaliais...
",https://rekvizitai.vz.lt/imone/uab_unitectus/
"V&G Kraštovaizdžio architektūros studija
","
","Nadpalių k. 1, Nadpaliai, LT-69116 Marijampolė.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; architektai; projektavimas.
","
Architekto paslaugos. Architektūra: - Gyvenamųjų namų projektavimas (vienbučių, dvibučių, daugiabučių). - Sodų, garažų, pirčių, kitos paskirties pastatų projektavimas. - Projektavimas ir konsultavimas.
Patirtis: - Gyvenamųjų, visuomeninių, sandėliavimo ir gamybos pastatų srityse.
",https://rekvizitai.vz.lt/imone/v_g_krastovaizdzio_architekturos_studija/
"VIA Engineering MB
","
","J. Savickio g. 4, LT-01108 Vilnius.","
Veiklos sritys: projektavimas; architektai; inžineriniai tinklai ir sistemos; konsultacijų paslaugos.
","
Veiklos sritys-projektavimas kultūros paveldo saugomų statinių, visų kitų grupių ypatingų ir neypatingų statinių projektavimas , tvarkybos darbų projektų ekspertavimas ir kitos projektavimo paslaugos,konsultavimas, projektavimo galimybių studijos ir konsultacijos perkant nekilnojamąjį turtą ,pastatu pridavimas...
",https://rekvizitai.vz.lt/imone/via_engineering_mb/
"Vytauto Vytuvio individuali veikla
","
Architektas Vytautas Vytuvis
","Jurbarko g. 2A-317, LT-47183 Kaunas.","
Veiklos sritys: architektai; individuali veikla; projektavimas.
","
Projektuojame įvarios paskirties statinius. Rengiame techninius darbo projektus. Kvalifikuotų architektų paslaugos Marijampolėje. Skaičiuojame projektų energetinį naudingumą. Konsultuojame nekilnojamojo turto įsigijimo klausimais.
Pastatų rekonstrukcijos projektai.
Pastatų / patalpų paskirties keitimas
",https://rekvizitai.vz.lt/imone/vytauto_vytuvio_individuali_veikla/
"ZIP projektai
","
","Seniavos pl. 90-2, LT-46315 Kaunas.","
Veiklos sritys: architektai; konsultacijų paslaugos; projektavimas.
","
Gyvenamųjų namų, kitų paskirčių pastatų projektavimas, skydiniai namai, interjero dizainas, vizualizacijų kūrimas.
",https://rekvizitai.vz.lt/imone/zip_projektai/
"Žyraiva
","
","Šarkaičių g. 13, LT-68117 Marijampolė.","
Veiklos sritys: architektai; baldai (gamyba); reklamos paslaugos.
","
UAB ""ASD Ekliptas"" teikia šias paslaugas: - Architektūrinio projektavimo darbai; - Ypatingų ir neypatingų statinių projektavimas; - Statinių rekonstravimo ir naujos statybos projektai; - Visuomeninių ir individualių objektų projektavimas; - Urbanistiniai, architektūriniai ir konstrukciniai sprendiniai; -...
",https://rekvizitai.vz.lt/imone/zyraiva/
"313 architects
","
","M. Valančiaus g. 4-7, LT-03105 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
Inžinerijos ir architektūros paslaugos, konsultacijos, projektavimas.
",https://rekvizitai.vz.lt/imone/313_architects/
"A kubu
","
","Filaretų g. 53, Didžiasalio k., LT-13264 Vilniaus r.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/a_kubu/
"A. Imbraso studija
","
","Mileišiškių g. 34-4, LT-10211 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/uab_a_imbraso_studija/
"Aj architects
","
","Raudonikių g. 6, Raudonikių k., LT-64393 Alytaus r.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/aj_architects/
"Architektūros ir inžinerijos studija
","
","M. K. Čiurlionio g. 7A, LT-76303 Šiauliai.","
Veiklos sritys: architektai; nekilnojamasis turtas; projektavimas.
","
",https://rekvizitai.vz.lt/imone/asd_ekliptas/
"Ardanuy Baltic
","
","K. Kalinausko g. 10-8, LT-03107 Vilnius.","
Veiklos sritys: statyba; apskaita; architektai.
","
",https://rekvizitai.vz.lt/imone/ardanuy_baltic/
"Bendrieji Statybų Projektai
","
","Savanorių pr. 187, III a., LT-50177 Kaunas.","
Veiklos sritys: projektavimas; architektai; grafika, dizainas; inžineriniai tinklai ir sistemos.
","
",https://rekvizitai.vz.lt/imone/bendrieji_statybu_projektai/
"Betna
","
",Vilnius.,"
Veiklos sritys: statyba; architektai; nekilnojamasis turtas; projektavimas.
","
Įvairios paskirties pastatų konstrukcijų projektavimo paslaugos. Konsultavimas. Gelžbetonio konstrukcijų gamyba - prekyba Vilniuje. Logistikos sprendimai - pagalba. Individualių namų statyba nuo pamatų iki rakto, remontas. Fasadų šiltinimas. Interjerų įrengimas. Vidaus sienų tinkavimo darbai. Parduodamos bei...
",https://rekvizitai.vz.lt/imone/betna/
"Constructionrk
","
","Laisvės pr. 71B-53, LT-07189 Vilnius.","
Veiklos sritys: statyba; antstoliai; architektai.
","
Individualių namų ir dvibučių vystymas, vidaus apdailos darbai.
",https://rekvizitai.vz.lt/imone/constructionrk/
"DNA Studija
","
DNA Studio
","Šv. Stepono g. 38-20, LT-01312 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
UAB “GEO BALTIJA” – geodezinių ir architektūrinių paslaugų įmonė vienijanti aukštos kvalifikacijos specialistus reikiamus siūlomoms paslaugos atlikti. Šios dvi sritys leidžia pilnai tvarkyti visus žemės reikalus, todėl atėjęs klientas pas mus ras viską ko jam gali prireikti. T.y. nuo geodezinių matavimų ar...
",https://rekvizitai.vz.lt/imone/domino_navidausko_architektu_studija/
"Drąs
","
","V. Nagevičiaus g. 3, LT-08237 Vilnius.","
Veiklos sritys: architektai; konsultacijų paslaugos; projektavimas.
","
Geodeziniai ir kadastriniai matavimai;
Kelių, gatvių, dviračių takų, aikštelių ir kitų inžinerinių statinių projektavimas ir vykdymo priežiūra;
Pastatų energinio naudingumo sertifikavimas.
",https://rekvizitai.vz.lt/imone/dras/
"GEO BALTIJA, UAB
","
","Plento g. 11, Medžiukų k., LT-19156 Širvintų r.","
Veiklos sritys: architektai; geodezija, kartografija; matavimo prietaisai; projektavimas.
","
Architektūra, projektavimas, projektų valdymas, konsultavimas.
",https://rekvizitai.vz.lt/imone/geo_baltija_uab/
"Geoinfra
","
","Ąžuolų g. 2, LT-72186 Tauragė.","
Veiklos sritys: projektavimas; architektai; geodezija, kartografija; sertifikavimo paslaugos.
","
Projektavimo įmonė.
",https://rekvizitai.vz.lt/imone/geoinfra/
"Girdvainis idea
","
","Kenos g. 6, LT-02103 Vilnius.","
Veiklos sritys: architektai; nekilnojamasis turtas; projektavimas.
","
„JUDIPRO” taikomas decentralizuotas verslo modelis ir siekiama visuomet būti arčiau užsakovo. Kiekvienas mūsų užsakovas jaučia, kad mes galime būti įsipareigoję verslo partneriai, pasirengę sukurti vertę bet kuriame jų projekte. Efektyviai naudodami savo laiką ir kitus išteklius, savo užsakovams teikiame aukštos...
",https://rekvizitai.vz.lt/imone/girdvainis_idea/
"IMM architektai
","
","Šv. Stepono g. 32-13, LT-01312 Vilnius.","
Veiklos sritys: architektai.
","
Konstrukcijų projektavimas visoje Lietuvoje. Aukštos kvalifikacijos specialistas atlieka statinių konstrukcijų projektavimą, Techninių, darbo projektų rengimą, Statinių ekspertizę, Statinio statybos techninę priežiūrą. Pastatų konstrukcijų projektavimas atsakingas ir ypač svarbus statybų etapas. Ilgalaikė darbo...
",https://rekvizitai.vz.lt/imone/imm_architektai/
"Infostatas
","
","Verkių g. 29A, LT-09108 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
- Vienbučių ir dvibučių gyvenamųjų namų projektavimas ir statybos leidimo gavimas; - Angų kirtimo daugiabučiuose projektų parengimas; - Įvairios paskirties statinių konstrukcinės dalies projekto parengimas; - Automobilių stovėjimo aikštelių projektavimas; - Daugiabučių gyvenamųjų namų renovacijos projektų...
",https://rekvizitai.vz.lt/imone/uab_infostatas/
"Judipro
","
","Gedimino g. 45-7, LT-44239 Kaunas.","
Veiklos sritys: architektai; nekilnojamasis turtas; projektavimas; statyba.
","
Visų kategorijų pastatų projektavimas ir konsultavimas.
Projektinų pasiūlymų, techninių projektų,darbo projektų rengimas.
",https://rekvizitai.vz.lt/imone/judipro/
"Konstrukcijų projektavimas MA
","
","Varpo g. 13B, LT-68288 Marijampolė.","
Veiklos sritys: architektai; individuali veikla; metalo konstrukcijos, angarai; projektavimas.
","
Įrengiame namelius medžiuose pagal individualius užsakymus. Kokio šie nameliai būtų ploto, kaip įrengti? Ar juose būtų galima išbūti ar net nakvoti žiemą? Atsakymas būtų toks: Mes išpildome svajones, mes įgyvendinam pasakas. Ar svajojant yra ribos? Manome, kad ne. Taip ir su namukais medžiuose – ribų nėra...
",https://rekvizitai.vz.lt/imone/konstrukciju_projektavimas_ma/
"Konstrukciniai sprendimai
","
","Žuvinto g. 13-8, LT-62354 Alytus.","
Veiklos sritys: architektai; projektavimas; statyba.
","
Profesionalios architektūrinio projektavimo paslaugos. Projektuojame individualius gyvenamuosius namus, daugiabučius, visuomeninės paskirties statinius
",https://rekvizitai.vz.lt/imone/konstrukciniai_sprendimai/
"Kupola
","
","Sodų g. 1A, Raudondvaris, LT-54136 Kauno r.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/uab_kupola/
"Namas medyje
","
","Adomėlių k. 1A, Adomėlių k., LT-56292 Kaišiadorių r.","
Veiklos sritys: mediniai namai; architektai; aukštalipių paslaugos.
","
",https://rekvizitai.vz.lt/imone/namas_medyje/
"NG architects
","
","S. Stanevičiaus g. 4-50, LT-07129 Vilnius.","
Veiklos sritys: architektai; projektavimas.
","
",https://rekvizitai.vz.lt/imone/ng_architects/
"Ekovalda
","
Medienos atliekų tvarkymas
","Liepų g. 85A, LT-92195 Klaipėda.","
Veiklos sritys: atliekų tvarkymas; antrinės žaliavos; eksportas; gamyba; gamtos apsauga; importas; mediena, jos gaminiai; tara, pakuotės.
","
UAB „Ekovalda” – socialiai atsakinga įmonė, prisidedanti prie pasaulinio neigiamo poveikio miškams bei klimato kaitos keliamų problemų mažinimo. Mūsų sertifikuota produkcija naudojama tolimesniam produktų gaminimui, taip kartu su Jumis, prisidedame prie miškų išsaugojimo, kuriant naujus produktus iš medinės...
",https://rekvizitai.vz.lt/imone/ekovalda/
